#X		#Y		#Wave		#Intensity
14126.000000	-13966.000000	589.998047	48386.851563
14126.000000	-13966.000000	591.140625	47984.246094
14126.000000	-13966.000000	592.283203	47569.828125
14126.000000	-13966.000000	593.423828	47866.625000
14126.000000	-13966.000000	594.566406	48167.890625
14126.000000	-13966.000000	595.708984	47928.441406
14126.000000	-13966.000000	596.849609	47211.511719
14126.000000	-13966.000000	597.992188	48259.671875
14126.000000	-13966.000000	599.132813	48471.367188
14126.000000	-13966.000000	600.273438	47366.355469
14126.000000	-13966.000000	601.414063	47884.746094
14126.000000	-13966.000000	602.554688	47954.007813
14126.000000	-13966.000000	603.695313	47470.890625
14126.000000	-13966.000000	604.835938	46985.414063
14126.000000	-13966.000000	605.976563	48284.683594
14126.000000	-13966.000000	607.115234	47687.324219
14126.000000	-13966.000000	608.255859	47754.386719
14126.000000	-13966.000000	609.394531	47161.121094
14126.000000	-13966.000000	610.535156	47370.734375
14126.000000	-13966.000000	611.673828	47953.484375
14126.000000	-13966.000000	612.812500	47913.062500
14126.000000	-13966.000000	613.951172	47527.960938
14126.000000	-13966.000000	615.089844	47103.207031
14126.000000	-13966.000000	616.228516	47056.023438
14126.000000	-13966.000000	617.367188	47650.156250
14126.000000	-13966.000000	618.505859	47950.117188
14126.000000	-13966.000000	619.642578	47863.484375
14126.000000	-13966.000000	620.781250	47502.136719
14126.000000	-13966.000000	621.917969	47485.722656
14126.000000	-13966.000000	623.054688	47286.847656
14126.000000	-13966.000000	624.193359	47371.511719
14126.000000	-13966.000000	625.330078	46728.371094
14126.000000	-13966.000000	626.466797	47215.421875
14126.000000	-13966.000000	627.603516	47170.328125
14126.000000	-13966.000000	628.738281	47596.000000
14126.000000	-13966.000000	629.875000	46763.230469
14126.000000	-13966.000000	631.011719	46579.378906
14126.000000	-13966.000000	632.146484	47335.300781
14126.000000	-13966.000000	633.283203	46779.441406
14126.000000	-13966.000000	634.417969	46260.824219
14126.000000	-13966.000000	635.552734	46818.859375
14126.000000	-13966.000000	636.689453	47612.734375
14126.000000	-13966.000000	637.824219	46937.585938
14126.000000	-13966.000000	638.958984	46973.835938
14126.000000	-13966.000000	640.093750	46304.964844
14126.000000	-13966.000000	641.226563	46724.589844
14126.000000	-13966.000000	642.361328	46917.312500
14126.000000	-13966.000000	643.496094	46997.652344
14126.000000	-13966.000000	644.628906	46996.433594
14126.000000	-13966.000000	645.763672	46984.183594
14126.000000	-13966.000000	646.896484	46334.484375
14126.000000	-13966.000000	648.029297	46099.304688
14126.000000	-13966.000000	649.162109	46695.847656
14126.000000	-13966.000000	650.294922	46030.324219
14126.000000	-13966.000000	651.427734	46585.105469
14126.000000	-13966.000000	652.560547	45678.730469
14126.000000	-13966.000000	653.693359	46803.238281
14126.000000	-13966.000000	654.826172	46148.324219
14126.000000	-13966.000000	655.957031	46409.730469
14126.000000	-13966.000000	657.089844	46222.812500
14126.000000	-13966.000000	658.220703	46323.031250
14126.000000	-13966.000000	659.351563	45731.679688
14126.000000	-13966.000000	660.482422	45993.167969
14126.000000	-13966.000000	661.615234	45585.015625
14126.000000	-13966.000000	662.746094	46206.886719
14126.000000	-13966.000000	663.875000	46101.539063
14126.000000	-13966.000000	665.005859	46829.828125
14126.000000	-13966.000000	666.136719	46552.023438
14126.000000	-13966.000000	667.267578	46835.984375
14126.000000	-13966.000000	668.396484	46529.320313
14126.000000	-13966.000000	669.527344	46390.718750
14126.000000	-13966.000000	670.656250	46528.714844
14126.000000	-13966.000000	671.785156	46243.972656
14126.000000	-13966.000000	672.916016	46818.101563
14126.000000	-13966.000000	674.044922	46123.679688
14126.000000	-13966.000000	675.173828	46675.816406
14126.000000	-13966.000000	676.302734	47334.441406
14126.000000	-13966.000000	677.429688	45840.054688
14126.000000	-13966.000000	678.558594	46352.519531
14126.000000	-13966.000000	679.687500	46745.476563
14126.000000	-13966.000000	680.814453	46526.859375
14126.000000	-13966.000000	681.943359	46126.398438
14126.000000	-13966.000000	683.070313	46184.730469
14126.000000	-13966.000000	684.197266	46311.808594
14126.000000	-13966.000000	685.324219	46465.539063
14126.000000	-13966.000000	686.453125	46344.273438
14126.000000	-13966.000000	687.580078	46515.796875
14126.000000	-13966.000000	688.705078	46139.332031
14126.000000	-13966.000000	689.832031	46353.031250
14126.000000	-13966.000000	690.958984	46378.136719
14126.000000	-13966.000000	692.085938	46485.378906
14126.000000	-13966.000000	693.210938	46914.578125
14126.000000	-13966.000000	694.337891	46393.523438
14126.000000	-13966.000000	695.462891	46169.894531
14126.000000	-13966.000000	696.587891	46565.914063
14126.000000	-13966.000000	697.712891	46842.089844
14126.000000	-13966.000000	698.837891	45980.718750
14126.000000	-13966.000000	699.962891	46410.218750
14126.000000	-13966.000000	701.087891	46690.933594
14126.000000	-13966.000000	702.212891	46413.761719
14126.000000	-13966.000000	703.337891	46200.972656
14126.000000	-13966.000000	704.460938	46023.695313
14126.000000	-13966.000000	705.585938	46424.605469
14126.000000	-13966.000000	706.708984	46093.812500
14126.000000	-13966.000000	707.833984	46477.054688
14126.000000	-13966.000000	708.957031	46375.343750
14126.000000	-13966.000000	710.080078	46291.398438
14126.000000	-13966.000000	711.203125	46076.101563
14126.000000	-13966.000000	712.326172	45653.699219
14126.000000	-13966.000000	713.449219	46582.640625
14126.000000	-13966.000000	714.572266	46447.441406
14126.000000	-13966.000000	715.695313	46681.910156
14126.000000	-13966.000000	716.816406	46760.515625
14126.000000	-13966.000000	717.939453	47077.531250
14126.000000	-13966.000000	719.060547	46768.503906
